respect regard
kind sort
finishing finish
figure fig
womb uterus
fight battle
person someone somebody
creature animal
rock stone
narration story
sleep slumber
infidel pagan
inhabitant dweller
place spot
nation country
reply answer
religion faith
matter affair
big large
fasting fast
revenge retaliation
distribute dispense
sermon preaching
intention purpose
ill ailment
step measure
task undertaking
paradise heaven eden
ascribe attribute
accommodate suit
go move
evident manifest
complete finish
vanquish beat
forbid prohibit
perfectly absolutely
decrease lessen
regard consider
certainly surely
however nevertheless
observe notice
disperse sprinkle
make do
world universe
guess reckon
say tell state
want desire
oblige compel
recover regain
appear seem
show present
wide broad
way manner
illness sickness
teach instruct
lately recently
news tidings
ask enquire
keep hold
little small
associate relate
suggest propose
allow let
mention refer
reveal uncover
frequently often
near approach
difficult hard
buy purchase
choose select
hide conceal
curse oath
fulfill fulfil
set put place lay
use utilize
reply answer
remember recall
fix repair
trickle dribble
occupant resident
part portion
stay remain
except dispute challenge
marry wed
begin start
lord divine almighty
idea thought
look expression
keep livelihood
dawn sunrise
abraham ibrahim
midday noon
throat pharynx
abdomen belly
obligation duty
come semen
meantime meanwhile
morning forenoon
completely totally
attain achieve
